Time	Heart Rate
00:00:13	90
00:00:18	90
00:00:23	91
00:00:38	90
00:00:40	90
00:00:45	90
00:00:50	91
00:01:00	90
00:01:10	87
00:01:25	87
00:01:40	87
00:01:45	86
00:01:50	86
00:02:05	86
00:02:20	86
00:02:30	86
00:02:35	88
00:02:40	89
00:02:45	90
00:03:00	90
00:03:10	91
00:03:15	94
00:03:20	95
00:03:25	95
00:03:40	98
00:03:45	101
00:03:50	102
00:03:55	103
00:04:00	103
00:04:05	104
00:04:10	104
00:04:17	104
00:04:22	102
00:04:37	101
00:04:47	102
00:04:52	101
00:04:57	100
00:05:12	98
00:05:22	98
00:05:37	98
00:05:52	98
00:05:57	98
00:06:02	97
00:06:07	95
00:06:17	94
00:06:22	93
00:06:27	91
00:06:32	90
00:06:47	90
00:07:02	91
00:07:12	89
00:07:27	89
00:07:32	88
00:07:37	88
00:07:52	88
00:08:02	89
00:08:17	90
00:08:22	91
00:08:29	92
00:08:34	92
00:08:39	91
00:08:54	91
00:08:59	91
00:09:14	91
00:09:24	90
00:09:29	90
00:09:34	89
00:09:39	86
00:09:44	84
00:09:54	85
00:10:04	85
00:10:19	85
00:10:24	84
00:10:29	83
00:10:44	84
00:10:59	84
00:11:14	84
00:11:29	84
00:11:39	86
00:11:44	87
00:11:54	86
00:11:59	87
00:12:04	88
00:12:09	87
00:12:14	88
00:12:22	88
00:12:27	89
00:12:32	90
00:12:42	97
00:12:47	99
00:12:52	100
00:12:57	94
00:13:02	94
00:13:07	95
00:13:12	96
00:13:17	98
00:13:22	97
00:13:27	97
00:13:42	97
00:13:47	96
00:14:02	96
00:14:07	96
00:14:22	96
00:14:37	95
00:14:47	93
00:14:57	94
00:15:02	96
00:15:12	97
00:15:17	96
00:15:22	98
00:15:27	100
00:15:32	101
00:15:38	101
00:15:43	103
00:15:48	104
00:15:53	105
00:16:08	102
00:16:13	100
00:16:28	101
00:16:33	100
00:16:38	105
00:16:53	103
00:16:58	102
00:17:08	101
00:17:18	103
00:17:23	105
00:17:28	107
00:17:33	108
00:17:38	113
00:17:48	109
00:17:58	108
00:18:03	102
00:18:08	103
00:18:23	103
00:18:28	104
00:18:43	107
00:18:53	111
00:18:58	114
00:19:03	116
00:19:10	114
00:19:15	115
00:19:20	113
00:19:25	114
